"","name_ganz","Geldgebende","Ertrag_2018_CHF","LastN.x","Betrag_CHF","Vorname","Titel","Funktion","Fakultät"
"60","Giovanoli, Pietro","lnnosuisse",171203,"Giovanoli",342406,"Pietro","Dr.","Ord. Professor für Wiederherstellungschirurgie","MEF"
"61","Giuriato, Davide","Charlotte Kerr Dürrenmatt-Stiftung",140000,"Giuriato",140000,"Davide","Dr.","Ord. Professor für Neuere deutsche Literaturwissenschaft","PHF"
"62","Glaser, Andreas","Kanton Aargau
Departement Volkswirtschaft und Inneres (DVI)",472000,"Glaser",472000,"Andreas","Dr.","Ausserord. Professor für Staats-, Verwaltungs- und Europarecht unter besonderer Berücksichtigung von Demokratiefragen","RWF"
"63","Gonon, Philipp","Pestalozzi Fondation",0,"Gonon",115000,"Philipp","Dr.","Ord. Professor für Berufsbildung","PHF"
"64","Grimm, Christian","Wolfermann-Nägeli-Stiftung",212440,"Grimm",212440,"Christian","Dr. phil. nat.","Ord. Professor für Experimentelle Ophthalmologie","MEF"
"65","Grossniklaus, Ueli","Syngenta Crop Protection AG",350000,"Grossniklaus",1050000,"Ueli","Dr. phil. II","Ord. Professor für Entwicklungsbiologie der Pflanzen","MNF"
"66","Günthard, Huldrych","Bundesamt für Gesundheit BAG",240000,"Günthard",3e+05,"Huldrych","Dr. med.","Ord. Professor für Klinische Infektiologie","MEF"
"67","Günthard, Huldrych","Swiss HIV Cohort Research Foundation",2e+05,"Günthard",2e+05,"Huldrych","Dr. med.","Ord. Professor für Klinische Infektiologie","MEF"
"68","Günthard, Huldrych","Association contre le VIH et autres infections transmissibles",1e+05,"Günthard",1e+05,"Huldrych","Dr. med.","Ord. Professor für Klinische Infektiologie","MEF"
"69","Günthard, Huldrych","National Institutes of Health (NIH)",85652,"Günthard",345570,"Huldrych","Dr. med.","Ord. Professor für Klinische Infektiologie","MEF"
"70","Hajnal, Alex","Stiftung Krebsforschung Schweiz",54200,"Hajnal",360050,"Alex","Dr.","Ord. Professor für Entwicklungsbiologie","MNF"
