;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
1;NA;Abou-Chadi;Tarik;Dr.;Assistenzprofessor für Politikwissenschaft mit Schwerpunkt Direkte Demokratie und Partizipation;PHF;Link;NA;Abou-Chadi, Tarik
2;NA;Akca;Selin;Dr.;Assistenzprofessorin für Marketing Management;WWF;Link;NA;Akca, Selin
3;NA;Alkadhi;Hatem;Dr. med.;Ausserord. Professor für Notfall-Radiologie;MEF;Link;NA;Alkadhi, Hatem
4;NA;Allemand;Mathias;Dr.;Assistenzprofessor für Differenzielle Gesundheitsforschung des Alters;PHF;Link;NA;Allemand, Mathias
5;NA;Altermatt;Florian;Dr.;Ausserord. Professor für Aquatische Ökologie;MNF;Link;NA;Altermatt, Florian
6;NA;Bach;Dominik;Dr.;Assistenzprofessor für Klinisch psychiatrische Forschung;MEF;Link;NA;Bach, Dominik
7;NA;Bäker;Agnes;Dr.;Assistenzprofessorin für Management Non-Profit-Organisationen (NPO);WWF;Link;NA;Bäker, Agnes
8;NA;Barthelmes;Daniel;Dr. med.;Ausserord. Professor für Ophthalmologie;MEF;Link;NA;Barthelmes, Daniel
9;NA;Bassler;Dirk;Dr.;Ausserord. Professor für Neonatologie;MEF;Link;NA;Bassler, Dirk
10;NA;Basten;Christoph;Dr.;Assistenzprofessor für Banking;WWF;Link;NA;Basten, Christoph
11;NA;Baudis;Michael;Dr. med.;Ausserord. Professor für Bioinformatik;MNF;Link;NA;Baudis, Michael
12;NA;Baumann;Christian;Dr. med.;Ausserord. Professor für Neurologie, insbesondere Parkinson-Erkrankung und Bewegungsstörungen;MEF;Link;NA;Baumann, Christian
13;NA;Bergjan;Silke-Petra;Dr.;Ausserord. Professorin für Kirchen- und Theologiegeschichte von der Alten Kirche bis zur Reformation;THF;Link;NA;Bergjan, Silke-Petra
14;NA;Bettschart-Wolfensberger;Regula;Dr.;Ausserord. Professorin für Veterinäranästhesiologie;VSF;Link;NA;Bettschart-Wolfensberger, Regula
15;NA;Biroli;Pietro;Dr.;Assistenzprofessor für Mikroökonomie;WWF;Link;NA;Biroli, Pietro
16;NA;Bleul;Ulrich T.;Dr. med. vet.;Ausserord. Professor für Fortpflanzungsmedizin mit Schwerpunkt Nutztiere;VSF;Link;NA;Bleul, Ulrich T.
17;NA;Blum;David;Dr.;Assistenzprofessor für Palliativmedizin;MEF;Link;NA;Blum, David
18;NA;Bodenmiller;Bernd;Dr.;Ausserord. Professor für Quantitative Zellbiologie;MNF;Link;NA;Bodenmiller, Bernd
19;NA;Bodis;Stephan;Dr. med.;Ausserord. Professor für Molekulare Strahlenbiologie;MEF;Link;NA;Bodis, Stephan
20;NA;Boente;Walter;Dr.;Assistenzprofessor für Privatrecht mit Schwerpunkt ZGB;RWF;Link;NA;Boente, Walter
21;NA;Borel;Nicole;Dr. med. vet., FVH für Pathologie;Assistenzprofessorin für Infektionspathologie;VSF;Link;NA;Borel, Nicole
22;NA;Boretti Schär;Felicitas;Dr. med. vet.;Assistenzprofessorin für Endokrinologie;VSF;Link;NA;Boretti Schär, Felicitas
23;NA;Borgeat;Alain;Dr. med.;Ausserord. Professor für Anästhesiologie;MEF;Link;NA;Borgeat, Alain
24;NA;Borsig;Lubor;Dr. phil.;Ausserord. Professor für Physiologie mit Schwerpunkt Zellphysiologie und Glykobiologie;MEF;Link;NA;Borsig, Lubor
25;NA;Boyman;Onur;Dr. med.;Ausserord. Professor für Klinische Immunologie;MEF;Link;NA;Boyman, Onur
26;NA;Brandt;Holger;Dr.;Assistenzprofessor für Quantitative Methoden der Intervention und Evaluation;PHF;Link;NA;Brandt, Holger
27;NA;Braun Binder;Nadja;Dr.;Assistenzprofessorin für Öffentliches Recht unter besonderer Berücksichtigung europäischer Demokratiefragen;RWF;Link;NA;Braun Binder, Nadja
28;NA;Brem;Silvia;Dr. sc. nat.;Assistenzprofessorin für Kognitive Neurowissenschaften des Kindes- und Jugendalters;MEF;Link;NA;Brem, Silvia
29;NA;Brenoe;Anne Ardila;Dr.;Assistenzprofessorin für Ökonomik der Kinder- und Jugendentwicklung mit dem Schwerpunkt auf Stillen, Larsson-Rosenquist Stiftungsprofessur für die Ökonomik der Kinder- und Jugendentwicklung mit dem Schwerpunkt auf Stillen;WWF;Link;NA;Brenoe, Anne Ardila
30;NA;Brown;Steven;Dr.;Ausserord. Professor für Chronobiologie und Schlafforschung;MEF;Link;NA;Brown, Steven
31;NA;Bueter;Marco;Dr. med., PhD;Assistenzprofessor für Bariatrische Chirurgie;MEF;Link;NA;Bueter, Marco
32;NA;Camici;Giovanni;Dr.;Assistenzprofessor für Vaskuläre Biologie, Sheikh Khalifa Stiftungsprofessur;MEF;Link;NA;Camici, Giovanni
33;NA;Casaburi;Lorenzo;Dr.;Assistenzprofessor für Entwicklungsökonomie, Stiftungsprofessur;WWF;Link;NA;Casaburi, Lorenzo
34;NA;Chahwan;Richard;Dr.;Assistenzprofessor für Klinische Tumorimmunologie;MEF;Link;NA;Chahwan, Richard
35;NA;Chen;Hui;Dr.;Ausserord. Professorin für Financial Accounting;WWF;Link;NA;Chen, Hui
36;NA;Clauss;Marcus;Dr.;Ausserord. Professor für Vergleichende Verdauungsphysiologie, Ernährung und Biologie von Zoo-, Heim- und Wildtieren;VSF;Link;NA;Clauss, Marcus
37;NA;Damm-Reiser;Alexander;Dr. rer. nat.;Assistenzprofessor für Fernerkundung von Wassersystemen;MNF;Link;NA;Damm-Reiser, Alexander
38;NA;Davidov;Eldad;Dr.;Ausserord. Professor für Soziologie;PHF;Link;NA;Davidov, Eldad
39;NA;De Benito Moreno;Carlota;Dr.;Assistenzprofessorin für Sprache und Raum in der Iberoromania;PHF;Link;NA;De Benito Moreno, Carlota
40;NA;de Oliveira;Eduardo Jorge;Dr.;Assistenzprofessor für Brasilianistik (Literatur, Kultur, Medien);PHF;Link;NA;de Oliveira, Eduardo Jorge
41;NA;Dellwo;Volker;Dr.;Ausserord. Professor für Phonetik;PHF;Link;NA;Dellwo, Volker
42;NA;Derks;Annuska;Dr.;Assistenzprofessorin für Allgemeine Ethnologie mit Schwerpunkt Soziale Transformationsprozesse;PHF;Link;NA;Derks, Annuska
43;NA;Dommann;Monika;Dr.;Ausserord. Professorin für Geschichte der Neuzeit;PHF;Link;NA;Dommann, Monika
44;NA;Dressel;Holger;Dr.;Assistenzprofessor für Arbeits- und Umweltmedizin;MEF;Link;NA;Dressel, Holger
45;NA;Dubey;Raghvendra;Dr.;Ausserord. Professor für Molekulare Reproduktionsendokrinologie;MEF;Link;NA;Dubey, Raghvendra
46;NA;Duru;Firat;Dr. med.;Ausserord. Professor für Kardiologie, speziell Rhythmologie;MEF;Link;NA;Duru, Firat
47;NA;Dusinberre;Martin;Dr.;Ausserord. Professor für Global History (18. bis 20. Jahrhundert);PHF;Link;NA;Dusinberre, Martin
48;NA;Eberle;Reto;Dr.;Ausserord. Professor für Auditing and Internal Control;WWF;Link;NA;Eberle, Reto
49;NA;Eberli;Daniel;Dr. med. Dr. rer. nat.;Ausserord. Professor für Regenerative Urologie;MEF;Link;NA;Eberli, Daniel
50;NA;Emmert;Maximilian;Dr. med.;Assistenzprofessor für Translationale Herzchirurgie;MEF;Link;NA;Emmert, Maximilian
51;NA;Farkas;Erich Walter;Dr.;Ausserord. Professor für Quantitative Finance;WWF;Link;NA;Farkas, Erich Walter
52;NA;Fehr;Jan Sven;Dr.;Assistenzprofessor für Gesundheit und Reisen;MEF;Link;NA;Fehr, Jan Sven
53;NA;Fehr-Duda;Helga;Dr.;Ausserord. Professorin für Entscheidungstheorie und experimentelle Entscheidungsforschung;WWF;Link;NA;Fehr-Duda, Helga
54;NA;Fenner;Kathrin;Dr.;Ausserord. Professorin für Umweltchemie;MNF;Link;NA;Fenner, Kathrin
55;NA;Féray;Valentin;Dr.;Assistenzprofessor für Reine Mathematik;MNF;Link;NA;Féray, Valentin
56;NA;Fiocchi Malaspina;Elisabetta;Dr.;Assistenzprofessorin für Rechtsgeschichte;RWF;Link;NA;Fiocchi Malaspina, Elisabetta
57;NA;Földy;Csaba;Dr.;"Assistenzprofessor für ERC-Projekt: ""Trans-synaptic signaling in GABAergic synapses""";MEF;Link;NA;Földy, Csaba
58;NA;Frank;Michael Clemens;Dr.;Ausserord. Professor für Literaturen in englischer Sprache des 19. und 20. Jahrhunderts;PHF;Link;NA;Frank, Michael Clemens
59;NA;Freisinger Sigel;Eva;Dr.;Ausserord. Professorin für Bioanorganische Chemie und Chemische Biologie;MNF;Link;NA;Freisinger Sigel, Eva
60;NA;Friemel;Thomas N.;Dr.;Ausserord. Professor für Publizistik- und Kommunikationswissenschaft mit dem Schwerpunkt Mediennutzung und Medienwirkung;PHF;Link;NA;Friemel, Thomas N.
61;NA;Fritz;Thomas;Dr.;Ausserord. Professor für Human-Oriented Software Engineering;WWF;Link;NA;Fritz, Thomas
62;NA;Funk;Jens;Dr. med.;Ausserord. Professor für Ophthalmologie;MEF;Link;NA;Funk, Jens
63;NA;Furrer;Reinhard;Dr.;Ausserord. Professor für Angewandte Statistik;MNF;Link;NA;Furrer, Reinhard
64;NA;Ganz;David;Dr.;Ausserord. Professor für Kunstgeschichte des Mittelalters;PHF;Link;NA;Ganz, David
65;NA;Genoni;Michele;Dr.;Ausserord. Professor für Herzchirurgie;MEF;Link;NA;Genoni, Michele
66;NA;Glaser;Andreas;Dr.;Ausserord. Professor für Staats-, Verwaltungs- und Europarecht unter besonderer Berücksichtigung von Demokratiefragen;RWF;Link;NA;Glaser, Andreas
67;NA;Godenzi;Gunhild Barbara;Dr. iur., LL.M.;Ausserord. Professorin für Strafrecht und Strafprozessrecht;RWF;Link;NA;Godenzi, Gunhild Barbara
68;NA;Gohdes;Anita R.;Dr.;Assistenzprofessorin für Internationale Beziehungen;PHF;Link;NA;Gohdes, Anita R.
69;NA;Grazzini;Massimiliano;Dr.;Ausserord. Professor für Physik;MNF;Link;NA;Grazzini, Massimiliano
70;NA;Grewe;Benjamin;Prof. der ETH Zürich;Assistenzprofessor für Neuroinformatik und Neuronale Systeme;MNF;Link;NA;Grewe, Benjamin
71;NA;Grünewald;Seraina Neva;Dr.;Assistenzprofessorin für Finanzmarktrecht;RWF;Link;NA;Grünewald, Seraina Neva
72;NA;Hale;Benjamin Geoffrey;Dr.;Assistenzprofessor;MEF;Link;NA;Hale, Benjamin Geoffrey
73;NA;Hall;Andrew;Dr.;Ausserord. Professor für Anatomie;MEF;Link;NA;Hall, Andrew
74;NA;Hare;Todd Anthony;Dr.;Ausserord. Professor für Neuroeconomics and Human Development;WWF;Link;NA;Hare, Todd Anthony
75;NA;Hehl;Adrian;Dr. phil. nat.;Ausserord. Professor für Molekulare Parasitologie;VSF;Link;NA;Hehl, Adrian
76;NA;Heite;Catrin;Dr.;Ausserord. Professorin für Erziehungswissenschaft mit dem Schwerpunkt Sozialpädagogik;PHF;Link;NA;Heite, Catrin
77;NA;Helled;Ravit;Dr.;Ausserord. Professorin für Theoretische Astrophysik;MNF;Link;NA;Helled, Ravit
78;NA;Hémous;David;Dr.;Assistenzprofessor für Ökonomik der Innovation und des Unternehmertums, gestiftet vom UBS International Center of Economics in Society;WWF;Link;NA;Hémous, David
79;NA;Herfeld;Catherine;Dr.;Assistenzprofessorin für Sozialtheorie und Philosophie der Sozialwissenschaften;PHF;Link;NA;Herfeld, Catherine
80;NA;Hilbi;Hubert;Dr.;Ausserord. Professor für Experimentelle Mikrobiologie;MEF;Link;NA;Hilbi, Hubert
81;NA;Hilty;Lorenz;Dr.;Ausserord. Professor für Informatik und Nachhaltigkeit;WWF;Link;NA;Hilty, Lorenz
82;NA;Hofmann-Lehmann;Regina;Dr.;Ausserord. Professorin für Labormedizin;VSF;Link;NA;Hofmann-Lehmann, Regina
83;NA;Hornemann;Thorsten;Dr.;Assistenzprofessor für Klinische Chemie;MEF;Link;NA;Hornemann, Thorsten
84;NA;Huang;Elaine May;Dr.;Ausserord. Professorin für Human Computer Interaction (HCI);WWF;Link;NA;Huang, Elaine May
85;NA;Huber;Reto;Dr.;Ausserord. Professor für Entwicklungsneurobiologie der Zustandsregulation des Kindes- und Jugendalters;MEF;Link;NA;Huber, Reto
86;NA;Hübler;Michael;Dr.;Ausserord. Professor für Kinderherzchirurgie;MEF;Link;NA;Hübler, Michael
87;NA;Hülür;Gizem;Dr.;Assistenzprofessorin für Längsschnittforschung des Alterns;PHF;Link;NA;Hülür, Gizem
88;NA;Huppenbauer;Markus;Dr. phil.;Ausserord. Professor für Ethik;THF;Link;NA;Huppenbauer, Markus
89;NA;Indiveri;Giacomo;Dr.;Ausserord. Professor für Neuroinformatik;MNF;Link;NA;Indiveri, Giacomo
90;NA;Jaeggi;Adrian V.;Dr.;Assistenzprofessor für Morphologische Variabilität;MEF;Link;NA;Jaeggi, Adrian V.
91;NA;Jetzer;Philippe;Dr.;Ausserord. Professor für Physik;MNF;Link;NA;Jetzer, Philippe
92;NA;Jinek;Martin;Dr.;Ausserord. Professor für Biochemie;MEF;Link;NA;Jinek, Martin
93;NA;Jung;Ronald;Dr. med. dent.;Ausserord. Professor für Implantologie;MEF;Link;NA;Jung, Ronald
94;NA;Karayannis;Theofanis;Dr.;Assistenzprofessor für Hirnforschung;MEF;Link;NA;Karayannis, Theofanis
95;NA;Keller;Emanuela;Dr. med.;Ausserord. Professorin für Neuro-Intensivmedizin;MEF;Link;NA;Keller, Emanuela
96;NA;Kessler;Thomas;Dr. med.;Ausserord. Professor für Neuro-Urologie;MEF;Link;NA;Kessler, Thomas
97;NA;Kircher;Patrick Robert;Dr.;Ausserord. Professor für Bildgebende Diagnostik;VSF;Link;NA;Kircher, Patrick Robert
98;NA;Klohs;Jan;Dr.;Assistenzprofessor für präklinische Bildgebung;MEF;Link;NA;Klohs, Jan
99;NA;Koch Medina;Pablo;Dr.;Ausserord. Professor für Finance and Insurance;WWF;Link;NA;Koch Medina, Pablo
100;NA;Kölzer;Viktor H.;Dr.;Assistenzprofessor für Computergestützte Bildanalyse in der Pathologie;MEF;Link;NA;Kölzer, Viktor H.
101;NA;Konrad;Daniel;Dr. med. et phil.;Ausserord. Professor für Pädiatrische Endokrinologie und Diabetologie;MEF;Link;NA;Konrad, Daniel
102;NA;Kouyos;Roger;Dr. sc.;Assistenzprofessor;MEF;Link;NA;Kouyos, Roger
103;NA;Kowalewski;Mariusz Pawel;Dr.;Ausserord. Professor für Funktionelle Mikroanatomie;VSF;Link;NA;Kowalewski, Mariusz Pawel
104;NA;Kozbur;Damian;Dr.;Assistenzprofessor für Econometrics;WWF;Link;NA;Kozbur, Damian
105;NA;Kozerke;Sebastian;;Ausserord. Professor;;Link;NA;Kozerke, Sebastian
106;NA;Krämer;Thomas;Dr. rer. nat.;Ausserord. Professor für Forensische Pharmakologie und Toxikologie;MEF;Link;NA;Krämer, Thomas
107;NA;Krützen;Michael;Dr.;Ausserord. Professor für Evolutionäre Anthropologie und Genomik;MNF;Link;NA;Krützen, Michael
108;NA;Kümmerli;Rolf;Dr.;Ausserord. Professor für Evolutionäre Mikrobiologie;MNF;Link;NA;Kümmerli, Rolf
109;NA;Kündig;Thomas;Dr. med.;Ausserord. Professor für Immundermatologie;MEF;Link;NA;Kündig, Thomas
110;NA;Künzler;Adrian;Dr.;Assistenzprofessor für Handels- und Wirtschaftsrecht mit Schwerpunkt im Gesellschafts-, Wettbewerbs- oder Immaterialgüterrrecht;RWF;Link;NA;Künzler, Adrian
111;NA;Kurtcuoglu;Vartan;Dr.;Assistenzprofessor für Rechnergestützte und Experimentelle Physiologie;MEF;Link;NA;Kurtcuoglu, Vartan
112;NA;Küster;Bärbel;Dr.;Ausserord. Professorin für moderne und zeitgenössische Kunst;PHF;Link;NA;Küster, Bärbel
113;NA;Landolt;Markus Andreas;Dr. phil.;Ausserord. Professor für Gesundheitspsychologie des Kindes- und Jugendalters;PHF;Link;NA;Landolt, Markus Andreas
114;NA;Langer;Nicolas;Dr.;Assistenzprofessor für Methoden der Plastizitätsforschung;PHF;Link;NA;Langer, Nicolas
115;NA;Leemann;Lucas;Dr.;Assistenzprofessor für Vergleichende Politikwissenschaft mit Schwerpunkt empirische Demokratieforschung;PHF;Link;NA;Leemann, Lucas
116;NA;Lehmann;Kuno;Dr. med.;Assistenzprofessor für abdominale onkologische Chirurgie;MEF;Link;NA;Lehmann, Kuno
117;NA;Leibundgut-Landmann;Salomé;Dr.;Ausserord. Professorin für Immunologie;VSF;Link;NA;Leibundgut-Landmann, Salomé
118;NA;Leimgruber;Matthieu;Dr.;Ausserord. Professor für Allgemeine und Schweizer Geschichte der neueren und neuesten Zeit;PHF;Link;NA;Leimgruber, Matthieu
119;NA;Levesque;Mitchell Paul;Dr.;Ausserord. Professor für Experimentelle Hautkrebsforschung;MEF;Link;NA;Levesque, Mitchell Paul
120;NA;Lichand;Guilherme;Dr.;Assistenzprofessor für Ökonomik der Kinderwohlfahrt und Entwicklung, unterstützt von UNICEF Schweiz;WWF;Link;NA;Lichand, Guilherme
121;NA;Lienkamp;Soeren;Dr.;Assistenzprofessor für Molekulare Medizin in der Anatomie;MEF;Link;NA;Lienkamp, Soeren
122;NA;Liptay;Fabienne;Dr.;Ausserord. Professorin für Filmwissenschaft;PHF;Link;NA;Liptay, Fabienne
123;NA;Loacker;Leander D.;Dr. iur.;Ausserord. Professor für Privat- und Wirtschaftsrecht, Internationales Privat- und Zivilverfahrensrecht sowie Rechtsvergleichung;RWF;Link;NA;Loacker, Leander D.
124;NA;Lopes;Massimo;Dr.;Ausserord. Professor für Molekulare Krebsforschung;MEF;Link;NA;Lopes, Massimo
125;NA;Lüddeckens;Dorothea;Dr.;Ausserord. Professorin für Religionswissenschaft, sozialwissenschaftliche Ausrichtung;THF;Link;NA;Lüddeckens, Dorothea
126;NA;Luft;Andreas;Dr. med.;Ausserord. Professor für Neurorehabilitation und Zerebrovaskuläre Neurologie, gestiftet von der P & K Pühringer Gemeinnützige Stiftung;MEF;Link;NA;Luft, Andreas
127;NA;Lutterotti;Andreas;Dr.;Assistenzprofessor für Experimentelle Therapieforschung in der Multiplen Sklerose und anderen neurologischen Erkrankungen;MEF;Link;NA;Lutterotti, Andreas
128;NA;Martin;Nicolas;Dr.;Assistenzprofessor für Moderne Indologie / Südasienwissenschaft, Mercator-Professur für Moderne Indologie / Südasienwissenschaft;PHF;Link;NA;Martin, Nicolas
129;NA;Mayer;Lucio;Dr.;Ausserord. Professor für Computergestützte Astrophysik;MNF;Link;NA;Mayer, Lucio
130;NA;Mehl;Albert Christof;Dr.;Ausserord. Professor für computergestützte restaurative Zahnmedizin;MEF;Link;NA;Mehl, Albert Christof
131;NA;Meyer;Urs;Dr.;Ausserord. Professor für Veterinärpharmakologie;VSF;Link;NA;Meyer, Urs
132;NA;Meylan;Anne;Dr.;Assistenzprofessorin für Philosophie mit besonderer Berücksichtigung der theoretischen Philosophie;PHF;Link;NA;Meylan, Anne
133;NA;Michel;Margot;Dr. iur.;Assistenzprofessorin für Zivilrecht und Zivilverfahrensrecht unter besonderer Berücksichtigung des Familienrechts und der verfahrensrechtlichen Bezüge;RWF;Link;NA;Michel, Margot
134;NA;Migliano;Andrea;Dr.;Ausserord. Professorin für Evolutionäre Anthropologie;MNF;Link;NA;Migliano, Andrea
135;NA;Mosimann;Christian;Dr.;Assistenzprofessor;MNF;Link;NA;Mosimann, Christian
136;NA;Müller;Anne;Dr.;Ausserord. Professorin für Experimentelle Medizin;MEF;Link;NA;Müller, Anne
137;NA;Munari;Cosimo-Andrea;Dr.;Assistenzprofessor für Finance and Insurance;WWF;Link;NA;Munari, Cosimo-Andrea
138;NA;Neuner-Jehle;Stefan;Dr. med.;Assistenzprofessor für Chronische Krankheiten und Multimorbidität in der Hausarztmedizin;MEF;Link;NA;Neuner-Jehle, Stefan
139;NA;Neupert;Titus;Dr.;Ausserord. Professor für Theoretische Physik der kondensierten Materie;MNF;Link;NA;Neupert, Titus
140;NA;Niebert;Kai;Dr.;Ausserord. Professor für Fachdidaktik Naturwissenschaften;PHF;Link;NA;Niebert, Kai
141;NA;Niggli;Felix;Dr. med.;Ausserord. Professor für Pädiatrische Onkologie;MEF;Link;NA;Niggli, Felix
142;NA;Nombela Arrieta;César;Dr.;Assistenzprofessor für Blutstammzellen und Knochenmarkstroma, Helmut Horten Stiftung-Assistenzprofessur für Blutstammzellen und Knochenmarkstroma;MEF;Link;NA;Nombela Arrieta, César
143;NA;Nuss;Karl;Dr.;Ausserord. Professor für Allgemeine und spezielle Chirurgie für Wiederkäuer;VSF;Link;NA;Nuss, Karl
144;NA;Östberg;Per;Dr.;Ausserord. Professor für Finance;WWF;Link;NA;Östberg, Per
145;NA;Özcan;Mutlu;Dr. med. dent.;Ausserord. Professorin für Dentale Materialwissenschaften;MEF;Link;NA;Özcan, Mutlu
146;NA;Ozgul;Seyfi Arpat;Dr.;Ausserord. Professor für Populationsökologie;MNF;Link;NA;Ozgul, Seyfi Arpat
147;NA;Pachlopnik Schmid;Jana;Dr. med., Dr. phil. nat.;Assistenzprofessorin für Pädiatrische Immunologie;MEF;Link;NA;Pachlopnik Schmid, Jana
148;NA;Paneni;Francesco;Dr.;Assistenzprofessor für Regenerative Kardiovaskuläre Medizin, Sheikh Khalifa Stiftungsprofessur;MEF;Link;NA;Paneni, Francesco
149;NA;Penengo;Lorenza;Dr.;Assistenzprofessorin für Molekularbiologie, mit Schwerpunkt Chromatindynamik und Genomstabilität;MNF;Link;NA;Penengo, Lorenza
150;NA;Peng-Keller;Simon;Dr.;Ausserord. Professor für Spiritual Care;THF;Link;NA;Peng-Keller, Simon
151;NA;Pfaltz;Monique;Dr.;Assistenzprofessorin für Klinische und Experimentelle Psychophysiologie;MEF;Link;NA;Pfaltz, Monique
152;NA;Pfirrmann;Christian;Dr. med.;Ausserord. Professor für Muskuloskelettale Radiologie;MEF;Link;NA;Pfirrmann, Christian
153;NA;Picht;Peter Georg;Dr.;Ausserord. Professor für Handels- und Wirtschaftsrecht;RWF;Link;NA;Picht, Peter Georg
154;NA;Plock;Jan;Dr. med.;Assistenzprofessor für Rekonstruktive Transplantationschirurgie;MEF;Link;NA;Plock, Jan
155;NA;Pomeranz;Dina;Dr.;Assistenzprofessorin für Mikroökonomie;WWF;Link;NA;Pomeranz, Dina
156;NA;Pot;Simon;Dr.;Assistenzprofessor für Ophthalmologie;VSF;Link;NA;Pot, Simon
157;NA;Pozzorini;Stefano;Dr.;Ausserord. Professor für Theoretische Physik;MNF;Link;NA;Pozzorini, Stefano
158;NA;Praetorius;Anna-Katharina;Dr.;Ausserord. Professorin für Erziehungswissenschaft mit Schwerpunkt pädagogisch-psychologische Lehr-Lernforschung und Didaktik;PHF;Link;NA;Praetorius, Anna-Katharina
159;NA;Pruschy;Martin;Dr.;Ausserord. Professor für Molekulare Radiobiologie;MEF;Link;NA;Pruschy, Martin
160;NA;Pryce;Christopher;Dr.;Ausserord. Professor für Verhaltensneurobiologie und Biologische Psychiatrie;MEF;Link;NA;Pryce, Christopher
161;NA;Quack;Johannes;Dr.;Assistenzprofessor für Allgemeine Ethnologie mit Schwerpunkt religiöse Bewegungen und kulturelle Bedeutungssysteme;PHF;Link;NA;Quack, Johannes
162;NA;Quednow;Boris B.;Dr. rer. nat.;Ausserord. Professor für Experimentelle und Klinische Psychopharmakologie;PHF;Link;NA;Quednow, Boris B.
163;NA;Raschle;Nora M.;Dr.;Assistenzprofessorin für Psychologie der Entwicklung von Kindern und Jugendlichen;PHF;Link;NA;Raschle, Nora M.
164;NA;Reggiani;Francesco;Dr.;Assistenzprofessor für Financial Accounting, gesponsert von der PricewaterhouseCoopers AG;WWF;Link;NA;Reggiani, Francesco
165;NA;Reich;Johannes;Dr. iur., LL.M.;Ausserord. Professor für Öffentliches Recht, Umweltrecht und Energierecht;RWF;Link;NA;Reich, Johannes
166;NA;Reichenbach;Janine;Dr. med.;Assistenzprofessorin für Pädiatrische Immunologie;MEF;Link;NA;Reichenbach, Janine
167;NA;Rimmele;Marius;Dr.;Assistenzprofessor für Medialität - Historische Perspektiven;PHF;Link;NA;Rimmele, Marius
168;NA;Robinson;Mark D.;Dr.;Ausserord. Professor für Statistische Genomik;MNF;Link;NA;Robinson, Mark D.
169;NA;Rohrer Bley;Carla;Dr. med. vet., Dipl. ACVR;Ausserord. Professorin für Radio-Onkologie;VSF;Link;NA;Rohrer Bley, Carla
170;NA;Ros-Oton;Xavier;Dr.;Assistenzprofessor;MNF;Link;NA;Ros-Oton, Xavier
171;NA;Roulin;Anne Carole;Dr.;Assistenzprofessorin für Evolutionäre Genomik der Pflanzen;MNF;Link;NA;Roulin, Anne Carole
172;NA;Rudolph;Roger;Dr. iur.;Assistenzprofessor für Arbeitsrecht unter Mitvertretung des Privatrechts;RWF;Link;NA;Rudolph, Roger
173;NA;Rufer;Michael;Dr. med.;Ausserord. Professor für Psychotherapie und Psychosomatik;MEF;Link;NA;Rufer, Michael
174;NA;Sajewska;Dorota;Dr.;Assistenzprofessorin für Interart (Osteuropa);PHF;Link;NA;Sajewska, Dorota
175;NA;Sanchez;Marcelo R.;Dr.;Ausserord. Professor für Paläobiologie;MNF;Link;NA;Sanchez, Marcelo R.
176;NA;Santos;Maria J.;Dr.;Assistenzprofessorin für Erdsystemwissenschaften;MNF;Link;NA;Santos, Maria J.
177;NA;Sartori;Alessandro;Dr.;Ausserord. Professor für Molekulare Krebsforschung;MEF;Link;NA;Sartori, Alessandro
178;NA;Scaramuzza;Davide;Dr.;Ausserord. Professor für Robotics and Perception;WWF;Link;NA;Scaramuzza, Davide
179;NA;Schaepman-Strub;Gabriela;Dr. sc. nat.;Ausserord. Professorin für Erdsystemwissenschaften;MNF;Link;NA;Schaepman-Strub, Gabriela
180;NA;Schaer;Dominik;Dr. med.;Ausserord. Professor für Allgemeine Innere Medizin;MEF;Link;NA;Schaer, Dominik
181;NA;Scharl;Michael;Dr. med.;Assistenzprofessor für Molekulare Medizin, Peter Hans Hofschneider Stiftungsprofessur für Molekulare Me;MEF;Link;NA;Scharl, Michael
182;NA;Scherer;Anne;Dr.;Assistenzprofessorin für Quantitative Marketing;WWF;Link;NA;Scherer, Anne
183;NA;Schippling;Sven;Dr. med.;Assistenzprofessor für Multimodale Bildgebung in der Neurologie;MEF;Link;NA;Schippling, Sven
184;NA;Schmitt-Opitz;Isabelle;Dr. med.;Ausserord. Professorin für Thoraxchirurgie, speziell der pulmonalen Gefässe;MEF;Link;NA;Schmitt-Opitz, Isabelle
185;NA;Schünemann;Verena J.;Dr.;Assistenzprofessorin für Paläogenetik;MEF;Link;NA;Schünemann, Verena J.
186;NA;Schüpbach;Reto;Dr. med.;Ausserord. Professor für Intensivmedizin;MEF;Link;NA;Schüpbach, Reto
187;NA;Segal;Carmit;Dr.;Ausserord. Professorin für Managerial Economics;WWF;Link;NA;Segal, Carmit
188;NA;Senn;Oliver;Dr. med.;Assistenzprofessor für Versorgungsforschung in der Hausarztmedizin;MEF;Link;NA;Senn, Oliver
189;NA;Serra;Nicola;Dr.;Ausserord. Professor für Physik;MNF;Link;NA;Serra, Nicola
190;NA;Seuken;Sven;Dr.;Ausserord. Professor für Computation and Economics;WWF;Link;NA;Seuken, Sven
191;NA;Shanahan;Lilly;Dr.;Ausserord. Professorin für Klinische Entwicklungspsychologie;PHF;Link;NA;Shanahan, Lilly
192;NA;Sidler;Xaver;Dr. med. vet. FVH;Ausserord. Professor für Schweinemedizin;VSF;Link;NA;Sidler, Xaver
193;NA;Sieber-Ruckstuhl;Nadja;Dr. med. vet.;Assistenzprofessorin für Endokrinologie;VSF;Link;NA;Sieber-Ruckstuhl, Nadja
194;NA;Signer;Adrian;Dr.;Ausserord. Professor für Theoretische Physik;MNF;Link;NA;Signer, Adrian
