;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
384;NA;Grotzer;Michael;Dr. med.;Ord. Professor für Pädiatrie;MEF;Link;NA;Grotzer, Michael
385;NA;Guckenberger;Matthias;Dr.;Ord. Professor für Radio-Onkologie;MEF;Link;NA;Guckenberger, Matthias
386;NA;Günthard;Huldrych;Dr. med.;Ord. Professor für Klinische Infektiologie;MEF;Link;NA;Günthard, Huldrych
387;NA;Haas;Ulrich;Dr.;Ord. Professor für Zivilverfahrens- und Privatrecht;RWF;Link;NA;Haas, Ulrich
388;NA;Habib;Michel;Dr.;Ord. Professor für Corporate Finance Theorie;WWF;Link;NA;Habib, Michel
389;NA;Hafen;Ernst;Dr.;Ord. Professor für Molekulare Entwicklungsbiologie;MNF;Link;NA;Hafen, Ernst
390;NA;Hahnloser;Richard;Dr.;Ord. Professor für Neuroinformatik;MNF;Link;NA;Hahnloser, Richard
391;NA;Hajnal;Alex;Dr.;Ord. Professor für Entwicklungsbiologie;MNF;Link;NA;Hajnal, Alex
392;NA;Halbig;Christoph;Dr.;Ord. Professor für Allgemeine Ethik;PHF;Link;NA;Halbig, Christoph
393;NA;Hamm;Peter;Dr.;Ord. Professor für Physikalische Chemie;MNF;Link;NA;Hamm, Peter
394;NA;Hämmerle;Christoph;Dr. med. dent.;Ord. Professor für Kronen- und Brückenprothetik, Teilprothetik und zahnärztliche Materialkunde;MEF;Link;NA;Hämmerle, Christoph
395;NA;Hargittai;Eszter;Dr.;Ord. Professorin für Publizistik- und Kommunikationswissenschaft mit dem Schwerpunkt 'Mediennutzung und Medienrealität';PHF;Link;NA;Hargittai, Eszter
396;NA;Hatt;Jean-Michel;Dr. med. vet., MSc, Dipl ACZM, Dipl ECZM (Avian);Ord. Professor für Zoo-, Heim- und Wildtiermedizin;VSF;Link;NA;Hatt, Jean-Michel
397;NA;Hausendorf;Heiko;Dr.;Ord. Professor für Deutsche Sprachwissenschaft;PHF;Link;NA;Hausendorf, Heiko
398;NA;Häusermann;Silja;Dr.;Ord. Professorin für Schweizer Politik und Vergleichende politische Ökonomie;PHF;Link;NA;Häusermann, Silja
399;NA;Hedderich;Ingeborg;Dr.;Ord. Professorin für Sonderpädagogik mit Schwerpunkt Gesellschaft, Partizipation und Behinderung;PHF;Link;NA;Hedderich, Ingeborg
400;NA;Heinemann;Andreas;Dr.;Ord. Professor für Handels-, Wirtschafts- und Europarecht;RWF;Link;NA;Heinemann, Andreas
401;NA;Heiss;Helmut;Dr.;Ord. Professor für Privatrecht mit Schwerpunkt Obligationenrecht, Rechtsvergleichung und Internationales Privatrecht;RWF;Link;NA;Heiss, Helmut
402;NA;Held;Leonhard;Dr.;Ord. Professor für Biostatistik;MEF;Link;NA;Held, Leonhard
